Content:User,,,,
username,password,,,
alice,Fx16&0Q^$3tw,,,
bob,Fg853G%bXIhp,,,
peter,Jif974e$TUOS,,,
lia,2d$E7NH0KaWm,,,
,,,,
Content:Comment,,,,
user,product,text,timestamp,parent
alice,Черный чай №1,,2022-12-01 14:30:00,
bob,Черный чай №1,,2022-12-02 17:23:00,
alice,Черный чай №1,,2022-12-03 12:45:00,2022-12-02 17:23:00
bob,Черный чай №1,,2022-12-03 13:15:00,2022-12-03 12:45:00
peter,Черный чай №1,,2022-12-04 18:01:00,
lia,Черный чай №1,,2022-12-04 18:58:00,
lia,Черный чай №1,,2022-12-04 19:07:00,2022-12-04 18:01:00
alice,Черный чай №2,,2022-12-10 10:44:00,
bob,Черный чай №3,,2022-12-10 22:15:00,
